V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
795,Year,2013,E38000003,,,20,,Female
989,Year,2013,E38000003,,,21,,Male
861,Year,2013,E38000003,,,21,,Female
984,Year,2013,E38000003,,,22,,Male
1060,Year,2013,E38000003,,,22,,Female
996,Year,2013,E38000003,,,23,,Male
1086,Year,2013,E38000003,,,23,,Female
1110,Year,2013,E38000003,,,24,,Male
1129,Year,2013,E38000003,,,24,,Female
1130,Year,2013,E38000003,,,25,,Male
1211,Year,2013,E38000003,,,25,,Female
983,Year,2013,E38000003,,,26,,Male
1126,Year,2013,E38000003,,,26,,Female
1121,Year,2013,E38000003,,,27,,Male
1140,Year,2013,E38000003,,,27,,Female
1062,Year,2013,E38000003,,,28,,Male
1102,Year,2013,E38000003,,,28,,Female
1048,Year,2013,E38000003,,,29,,Male
1073,Year,2013,E38000003,,,29,,Female
1076,Year,2013,E38000003,,,30,,Male
1163,Year,2013,E38000003,,,30,,Female
1083,Year,2013,E38000003,,,31,,Male
1238,Year,2013,E38000003,,,31,,Female
1190,Year,2013,E38000003,,,32,,Male
1274,Year,2013,E38000003,,,32,,Female
1287,Year,2013,E38000003,,,33,,Male
1293,Year,2013,E38000003,,,33,,Female
1222,Year,2013,E38000003,,,34,,Male
1327,Year,2013,E38000003,,,34,,Female
1167,Year,2013,E38000003,,,35,,Male
1233,Year,2013,E38000003,,,35,,Female
1261,Year,2013,E38000003,,,36,,Male
1254,Year,2013,E38000003,,,36,,Female
1250,Year,2013,E38000003,,,37,,Male
1279,Year,2013,E38000003,,,37,,Female
1336,Year,2013,E38000003,,,38,,Male
1293,Year,2013,E38000003,,,38,,Female
1392,Year,2013,E38000003,,,39,,Male
1378,Year,2013,E38000003,,,39,,Female
1414,Year,2013,E38000003,,,40,,Male
1511,Year,2013,E38000003,,,40,,Female
1431,Year,2013,E38000003,,,41,,Male
1470,Year,2013,E38000003,,,41,,Female
1544,Year,2013,E38000003,,,42,,Male
1606,Year,2013,E38000003,,,42,,Female
1508,Year,2013,E38000003,,,43,,Male
1527,Year,2013,E38000003,,,43,,Female
1495,Year,2013,E38000003,,,44,,Male
1593,Year,2013,E38000003,,,44,,Female
1582,Year,2013,E38000003,,,45,,Male
1656,Year,2013,E38000003,,,45,,Female
1677,Year,2013,E38000003,,,46,,Male
1687,Year,2013,E38000003,,,46,,Female
1661,Year,2013,E38000003,,,47,,Male
1647,Year,2013,E38000003,,,47,,Female
1645,Year,2013,E38000003,,,48,,Male
1627,Year,2013,E38000003,,,48,,Female
1666,Year,2013,E38000003,,,49,,Male
1676,Year,2013,E38000003,,,49,,Female
1584,Year,2013,E38000003,,,50,,Male
1567,Year,2013,E38000003,,,50,,Female
1475,Year,2013,E38000003,,,51,,Male
1510,Year,2013,E38000003,,,51,,Female
1512,Year,2013,E38000003,,,52,,Male
1480,Year,2013,E38000003,,,52,,Female
1492,Year,2013,E38000003,,,53,,Male
1436,Year,2013,E38000003,,,53,,Female
1374,Year,2013,E38000003,,,54,,Male
1410,Year,2013,E38000003,,,54,,Female
1426,Year,2013,E38000003,,,55,,Male
1350,Year,2013,E38000003,,,55,,Female
1259,Year,2013,E38000003,,,56,,Male
1303,Year,2013,E38000003,,,56,,Female
1240,Year,2013,E38000003,,,57,,Male
1150,Year,2013,E38000003,,,57,,Female
1168,Year,2013,E38000003,,,58,,Male
1182,Year,2013,E38000003,,,58,,Female
1169,Year,2013,E38000003,,,59,,Male
1211,Year,2013,E38000003,,,59,,Female
1156,Year,2013,E38000003,,,60,,Male
1128,Year,2013,E38000003,,,60,,Female
1058,Year,2013,E38000003,,,61,,Male
1111,Year,2013,E38000003,,,61,,Female
1058,Year,2013,E38000003,,,62,,Male
1147,Year,2013,E38000003,,,62,,Female
1133,Year,2013,E38000003,,,63,,Male
1113,Year,2013,E38000003,,,63,,Female
1158,Year,2013,E38000003,,,64,,Male
1234,Year,2013,E38000003,,,64,,Female
1179,Year,2013,E38000003,,,65,,Male
1247,Year,2013,E38000003,,,65,,Female
1315,Year,2013,E38000003,,,66,,Male
1332,Year,2013,E38000003,,,66,,Female
931,Year,2013,E38000003,,,67,,Male
953,Year,2013,E38000003,,,67,,Female
973,Year,2013,E38000003,,,68,,Male
1017,Year,2013,E38000003,,,68,,Female
913,Year,2013,E38000003,,,69,,Male
979,Year,2013,E38000003,,,69,,Female
833,Year,2013,E38000003,,,70,,Male
916,Year,2013,E38000003,,,70,,Female
743,Year,2013,E38000003,,,71,,Male
855,Year,2013,E38000003,,,71,,Female
672,Year,2013,E38000003,,,72,,Male
722,Year,2013,E38000003,,,72,,Female
694,Year,2013,E38000003,,,73,,Male
794,Year,2013,E38000003,,,73,,Female
653,Year,2013,E38000003,,,74,,Male
747,Year,2013,E38000003,,,74,,Female
639,Year,2013,E38000003,,,75,,Male
678,Year,2013,E38000003,,,75,,Female
645,Year,2013,E38000003,,,76,,Male
648,Year,2013,E38000003,,,76,,Female
547,Year,2013,E38000003,,,77,,Male
667,Year,2013,E38000003,,,77,,Female
548,Year,2013,E38000003,,,78,,Male
672,Year,2013,E38000003,,,78,,Female
453,Year,2013,E38000003,,,79,,Male
574,Year,2013,E38000003,,,79,,Female
491,Year,2013,E38000003,,,80,,Male
522,Year,2013,E38000003,,,80,,Female
421,Year,2013,E38000003,,,81,,Male
546,Year,2013,E38000003,,,81,,Female
356,Year,2013,E38000003,,,82,,Male
531,Year,2013,E38000003,,,82,,Female
359,Year,2013,E38000003,,,83,,Male
467,Year,2013,E38000003,,,83,,Female
305,Year,2013,E38000003,,,84,,Male
448,Year,2013,E38000003,,,84,,Female
267,Year,2013,E38000003,,,85,,Male
390,Year,2013,E38000003,,,85,,Female
256,Year,2013,E38000003,,,86,,Male
354,Year,2013,E38000003,,,86,,Female
161,Year,2013,E38000003,,,87,,Male
373,Year,2013,E38000003,,,87,,Female
161,Year,2013,E38000003,,,88,,Male
306,Year,2013,E38000003,,,88,,Female
138,Year,2013,E38000003,,,89,,Male
263,Year,2013,E38000003,,,89,,Female
435,Year,2013,E38000003,,,90,,Male
1242,Year,2013,E38000003,,,90,,Female
2159,Year,2013,E38000004,,,0,,Male
1853,Year,2013,E38000004,,,0,,Female
2100,Year,2013,E38000004,,,1,,Male
1956,Year,2013,E38000004,,,1,,Female
1977,Year,2013,E38000004,,,2,,Male
1876,Year,2013,E38000004,,,2,,Female
2000,Year,2013,E38000004,,,3,,Male
1854,Year,2013,E38000004,,,3,,Female
1902,Year,2013,E38000004,,,4,,Male
1935,Year,2013,E38000004,,,4,,Female
1991,Year,2013,E38000004,,,5,,Male
1881,Year,2013,E38000004,,,5,,Female
2002,Year,2013,E38000004,,,6,,Male
1791,Year,2013,E38000004,,,6,,Female
1764,Year,2013,E38000004,,,7,,Male
1607,Year,2013,E38000004,,,7,,Female
1591,Year,2013,E38000004,,,8,,Male
1493,Year,2013,E38000004,,,8,,Female
1433,Year,2013,E38000004,,,9,,Male
1351,Year,2013,E38000004,,,9,,Female
1427,Year,2013,E38000004,,,10,,Male
1262,Year,2013,E38000004,,,10,,Female
1330,Year,2013,E38000004,,,11,,Male
1315,Year,2013,E38000004,,,11,,Female
1388,Year,2013,E38000004,,,12,,Male
1298,Year,2013,E38000004,,,12,,Female
1280,Year,2013,E38000004,,,13,,Male
1238,Year,2013,E38000004,,,13,,Female
1240,Year,2013,E38000004,,,14,,Male
1221,Year,2013,E38000004,,,14,,Female
1494,Year,2013,E38000004,,,15,,Male
1333,Year,2013,E38000004,,,15,,Female
1454,Year,2013,E38000004,,,16,,Male
1299,Year,2013,E38000004,,,16,,Female
1302,Year,2013,E38000004,,,17,,Male
1208,Year,2013,E38000004,,,17,,Female
1324,Year,2013,E38000004,,,18,,Male
1274,Year,2013,E38000004,,,18,,Female
1287,Year,2013,E38000004,,,19,,Male
1075,Year,2013,E38000004,,,19,,Female
1135,Year,2013,E38000004,,,20,,Male
1138,Year,2013,E38000004,,,20,,Female
1174,Year,2013,E38000004,,,21,,Male
1173,Year,2013,E38000004,,,21,,Female
1330,Year,2013,E38000004,,,22,,Male
