V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
177.0,,2.9,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,100 to 499 employees
6.0,,16.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,100 to 499 employees
39.0,,6.1,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,100 to 499 employees
15.0,,9.8,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,100 to 499 employees
155.0,,3.2,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,100 to 499 employees
103.0,,4.1,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,100 to 499 employees
127.0,,3.5,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,100 to 499 employees
186.0,,2.9,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,100 to 499 employees
7.0,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,100 to 499 employees
45.0,,6.0,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,100 to 499 employees
17.0,,9.7,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,100 to 499 employees
95.0,,4.2,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,100 to 499 employees
79.0,,4.7,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,100 to 499 employees
95.0,,4.2,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,100 to 499 employees
143.0,,3.5,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,100 to 499 employees
7.0,,16.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,100 to 499 employees
38.0,,6.7,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,100 to 499 employees
12.0,,12.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,100 to 499 employees
58.0,,5.5,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,100 to 499 employees
314.0,,2.4,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,100 to 499 employees
239.0,,2.8,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,100 to 499 employees
461.0,,2.0,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,100 to 499 employees
24.0,,9.0,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,100 to 499 employees
111.0,,4.1,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,100 to 499 employees
23.0,,9.0,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,100 to 499 employees
130.0,,3.8,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,100 to 499 employees
387.0,,2.1,Year,2016,K02000001,,,500 to 999 employees,,All,,Defined benefit,,500 to 999 employees
358.0,,2.1,Year,2016,K02000001,,,500 to 999 employees,,All,,Defined contribution,,500 to 999 employees
414.0,,2.0,Year,2016,K02000001,,,500 to 999 employees,,All,,Group personal pension,,500 to 999 employees
17.0,,10.0,Year,2016,K02000001,,,500 to 999 employees,,All,,Group self-invested personal pension,,500 to 999 employees
102.0,,4.1,Year,2016,K02000001,,,500 to 999 employees,,All,,Group stakeholder pension,,500 to 999 employees
29.0,,7.4,Year,2016,K02000001,,,500 to 999 employees,,All,,Unknown pension provision,,500 to 999 employees
348.0,,2.1,Year,2016,K02000001,,,500 to 999 employees,,All,,No pension provision,,500 to 999 employees
7.0,,14.0,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,500 to 999 employees
7.0,,14.0,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,500 to 999 employees
5.0,,16.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,500 to 999 employees
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,500 to 999 employees
,x,51.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,500 to 999 employees
,x,71.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,500 to 999 employees
70.0,,4.6,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,500 to 999 employees
22.0,,8.2,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,500 to 999 employees
22.0,,8.0,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,500 to 999 employees
15.0,,9.5,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,500 to 999 employees
,x,38.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,500 to 999 employees
4.0,,20.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,500 to 999 employees
,x,38.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,500 to 999 employees
64.0,,4.7,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,500 to 999 employees
31.0,,6.9,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,500 to 999 employees
43.0,,5.7,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,500 to 999 employees
34.0,,6.6,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,500 to 999 employees
,x,35.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,500 to 999 employees
7.0,,14.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,500 to 999 employees
5.0,,17.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,500 to 999 employees
48.0,,5.8,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,500 to 999 employees
53.0,,5.5,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,500 to 999 employees
60.0,,5.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,500 to 999 employees
63.0,,4.8,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,500 to 999 employees
,x,31.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,500 to 999 employees
15.0,,9.9,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,500 to 999 employees
5.0,,16.0,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,500 to 999 employees
59.0,,5.2,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,500 to 999 employees
63.0,,5.1,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,500 to 999 employees
56.0,,5.3,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,500 to 999 employees
65.0,,4.9,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,500 to 999 employees
,x,28.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,500 to 999 employees
17.0,,9.9,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,500 to 999 employees
5.0,,18.0,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,500 to 999 employees
39.0,,6.5,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,500 to 999 employees
48.0,,6.0,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,500 to 999 employees
45.0,,6.1,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,500 to 999 employees
53.0,,5.7,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,500 to 999 employees
,x,28.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,500 to 999 employees
17.0,,10.0,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,500 to 999 employees
,x,25.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,500 to 999 employees
