V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
18.4,,6.3,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,500 to 999 employees
25.6,,4.9,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,500 to 999 employees
19.9,,5.9,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,500 to 999 employees
,x,35.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,500 to 999 employees
4.4,,13.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,500 to 999 employees
2.7,,17.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,500 to 999 employees
28.2,,4.8,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,500 to 999 employees
20.6,,4.9,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,500 to 999 employees
23.4,,4.4,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,500 to 999 employees
24.5,,4.2,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,500 to 999 employees
,x,31.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,500 to 999 employees
6.1,,9.6,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,500 to 999 employees
1.9,,16.0,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,500 to 999 employees
23.0,,4.5,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,500 to 999 employees
25.6,,4.4,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,500 to 999 employees
22.8,,4.7,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,500 to 999 employees
26.3,,4.2,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,500 to 999 employees
,x,28.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,500 to 999 employees
6.9,,9.5,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,500 to 999 employees
2.1,,18.0,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,500 to 999 employees
15.6,,6.0,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,500 to 999 employees
25.2,,5.2,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,500 to 999 employees
23.7,,5.4,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,500 to 999 employees
27.7,,4.9,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,500 to 999 employees
,x,28.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,500 to 999 employees
8.7,,9.9,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,500 to 999 employees
,x,25.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,500 to 999 employees
12.2,,8.3,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,500 to 999 employees
28.3,,2.9,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,500 to 999 employees
21.7,,3.5,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,500 to 999 employees
31.4,,2.7,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,500 to 999 employees
