V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
242500.0,Quarter,2015 Q2,J01000066,,,Detached
175250.0,Quarter,2015 Q2,J01000066,,,Semi Detached
165000.0,Quarter,2015 Q2,J01000066,,,Terraced
123000.0,Quarter,2015 Q2,J01000066,,,Flat/Maisonette
112995.0,Quarter,2015 Q2,J01000067,,,All properties
182000.0,Quarter,2015 Q2,J01000067,,,Detached
118750.0,Quarter,2015 Q2,J01000067,,,Semi Detached
89500.0,Quarter,2015 Q2,J01000067,,,Terraced
106000.0,Quarter,2015 Q2,J01000067,,,Flat/Maisonette
140000.0,Quarter,2015 Q2,J01000068,,,All properties
214497.5,Quarter,2015 Q2,J01000068,,,Detached
139475.0,Quarter,2015 Q2,J01000068,,,Semi Detached
105000.0,Quarter,2015 Q2,J01000068,,,Terraced
82500.0,Quarter,2015 Q2,J01000068,,,Flat/Maisonette
95000.0,Quarter,2015 Q2,J01000069,,,All properties
195000.0,Quarter,2015 Q2,J01000069,,,Detached
118995.0,Quarter,2015 Q2,J01000069,,,Semi Detached
71000.0,Quarter,2015 Q2,J01000069,,,Terraced
65000.0,Quarter,2015 Q2,J01000069,,,Flat/Maisonette
327000.0,Quarter,2015 Q2,J01000070,,,All properties
590000.0,Quarter,2015 Q2,J01000070,,,Detached
348000.0,Quarter,2015 Q2,J01000070,,,Semi Detached
340000.0,Quarter,2015 Q2,J01000070,,,Terraced
250000.0,Quarter,2015 Q2,J01000070,,,Flat/Maisonette
148000.0,Quarter,2015 Q2,J01000071,,,All properties
214750.0,Quarter,2015 Q2,J01000071,,,Detached
148500.0,Quarter,2015 Q2,J01000071,,,Semi Detached
120000.0,Quarter,2015 Q2,J01000071,,,Terraced
95000.0,Quarter,2015 Q2,J01000071,,,Flat/Maisonette
160000.0,Quarter,2015 Q2,J01000072,,,All properties
265000.0,Quarter,2015 Q2,J01000072,,,Detached
176000.0,Quarter,2015 Q2,J01000072,,,Semi Detached
148000.0,Quarter,2015 Q2,J01000072,,,Terraced
112000.0,Quarter,2015 Q2,J01000072,,,Flat/Maisonette
239950.0,Quarter,2015 Q2,J01000073,,,All properties
308000.0,Quarter,2015 Q2,J01000073,,,Detached
229475.0,Quarter,2015 Q2,J01000073,,,Semi Detached
214000.0,Quarter,2015 Q2,J01000073,,,Terraced
178000.0,Quarter,2015 Q2,J01000073,,,Flat/Maisonette
170000.0,Quarter,2015 Q2,J01000074,,,All properties
325625.0,Quarter,2015 Q2,J01000074,,,Detached
220500.0,Quarter,2015 Q2,J01000074,,,Semi Detached
172500.0,Quarter,2015 Q2,J01000074,,,Terraced
128995.0,Quarter,2015 Q2,J01000074,,,Flat/Maisonette
120000.0,Quarter,2015 Q2,J01000075,,,All properties
222000.0,Quarter,2015 Q2,J01000075,,,Detached
140000.0,Quarter,2015 Q2,J01000075,,,Semi Detached
90000.0,Quarter,2015 Q2,J01000075,,,Terraced
76000.0,Quarter,2015 Q2,J01000075,,,Flat/Maisonette
255000.0,Quarter,2015 Q2,J01000076,,,All properties
440000.0,Quarter,2015 Q2,J01000076,,,Detached
306000.0,Quarter,2015 Q2,J01000076,,,Semi Detached
242500.0,Quarter,2015 Q2,J01000076,,,Terraced
185000.0,Quarter,2015 Q2,J01000076,,,Flat/Maisonette
165000.0,Quarter,2015 Q2,J01000077,,,All properties
241247.5,Quarter,2015 Q2,J01000077,,,Detached
166500.0,Quarter,2015 Q2,J01000077,,,Semi Detached
130000.0,Quarter,2015 Q2,J01000077,,,Terraced
101750.0,Quarter,2015 Q2,J01000077,,,Flat/Maisonette
124250.0,Quarter,2015 Q2,J01000078,,,All properties
209997.5,Quarter,2015 Q2,J01000078,,,Detached
124950.0,Quarter,2015 Q2,J01000078,,,Semi Detached
79497.5,Quarter,2015 Q2,J01000078,,,Terraced
63000.0,Quarter,2015 Q2,J01000078,,,Flat/Maisonette
125000.0,Quarter,2015 Q2,J01000079,,,All properties
212125.0,Quarter,2015 Q2,J01000079,,,Detached
124700.0,Quarter,2015 Q2,J01000079,,,Semi Detached
80000.0,Quarter,2015 Q2,J01000079,,,Terraced
76945.0,Quarter,2015 Q2,J01000079,,,Flat/Maisonette
124950.0,Quarter,2015 Q2,J01000080,,,All properties
194950.0,Quarter,2015 Q2,J01000080,,,Detached
145500.0,Quarter,2015 Q2,J01000080,,,Semi Detached
115000.0,Quarter,2015 Q2,J01000080,,,Terraced
