V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender,Life Measure_codelist,Life Measure
58.99739,Year,2013,E08000032,,,Female,,Healthy Life Expectancy
81.42236,Year,2013,E08000018,,,Female,,Life Expectancy
58.96516,Year,2013,E08000018,,,Female,,Healthy Life Expectancy
81.69701,Year,2013,E08000017,,,Female,,Life Expectancy
57.89185,Year,2013,E08000017,,,Female,,Healthy Life Expectancy
80.69709,Year,2013,E06000010,,,Female,,Life Expectancy
56.9332,Year,2013,E06000010,,,Female,,Healthy Life Expectancy
81.59617,Year,2013,E08000016,,,Female,,Life Expectancy
56.199,Year,2013,E08000016,,,Female,,Healthy Life Expectancy
85.69239,Year,2013,E06000017,,,Female,,Life Expectancy
71.31935,Year,2013,E06000017,,,Female,,Healthy Life Expectancy
82.99434,Year,2013,E10000019,,,Female,,Life Expectancy
66.14807,Year,2013,E10000019,,,Female,,Healthy Life Expectancy
84.09427,Year,2013,E10000018,,,Female,,Life Expectancy
64.73564,Year,2013,E10000018,,,Female,,Healthy Life Expectancy
82.75655,Year,2013,E10000021,,,Female,,Life Expectancy
64.43088,Year,2013,E10000021,,,Female,,Healthy Life Expectancy
82.99165,Year,2013,E10000024,,,Female,,Life Expectancy
64.20347,Year,2013,E10000024,,,Female,,Healthy Life Expectancy
83.15603,Year,2013,E10000007,,,Female,,Life Expectancy
62.27774,Year,2013,E10000007,,,Female,,Healthy Life Expectancy
81.74943,Year,2013,E06000018,,,Female,,Life Expectancy
59.84477,Year,2013,E06000018,,,Female,,Healthy Life Expectancy
82.63463,Year,2013,E06000015,,,Female,,Life Expectancy
58.81552,Year,2013,E06000015,,,Female,,Healthy Life Expectancy
81.86375,Year,2013,E06000016,,,Female,,Life Expectancy
58.49089,Year,2013,E06000016,,,Female,,Healthy Life Expectancy
83.90254,Year,2013,E06000019,,,Female,,Life Expectancy
66.98745,Year,2013,E06000019,,,Female,,Healthy Life Expectancy
83.51109,Year,2013,E10000034,,,Female,,Life Expectancy
66.3915,Year,2013,E10000034,,,Female,,Healthy Life Expectancy
83.8261,Year,2013,E10000031,,,Female,,Life Expectancy
66.26145,Year,2013,E10000031,,,Female,,Healthy Life Expectancy
83.85976,Year,2013,E06000051,,,Female,,Life Expectancy
65.58129,Year,2013,E06000051,,,Female,,Healthy Life Expectancy
84.81002,Year,2013,E08000029,,,Female,,Life Expectancy
65.48137,Year,2013,E08000029,,,Female,,Healthy Life Expectancy
83.15576,Year,2013,E08000027,,,Female,,Life Expectancy
