V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Age_codelist,HRP Age,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
3.8842714839999997,0.28875923,5028,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
4.029472258,0.25647156,6303,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
2.8974408589999996,0.251228565,5193,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
1.991958425,0.219653811,4641,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
0.968673963,0.190203672,2906,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Criminal damage to a vehicle,, ,, 
2.738574152,0.541376382,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Other household theft,, ,, 
2.569157581,0.24595453399999997,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Other household theft,, ,, 
2.245202619,0.19560622,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Other household theft,, ,, 
2.3733760669999997,0.182677027,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Other household theft,, ,, 
1.9494528819999999,0.181712862,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Other household theft,, ,, 
1.315798176,0.15600972400000002,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Other household theft,, ,, 
1.050502974,0.160102931,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Other household theft,, ,, 
1.64600568,0.377349101,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Theft from a motor vehicle,, ,, 
2.164864257,0.20792874,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Theft from a motor vehicle,, ,, 
2.791254893,0.221681341,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Theft from a motor vehicle,, ,, 
2.9236617330000003,0.20828909399999998,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Theft from a motor vehicle,, ,, 
2.376099574,0.206362637,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Theft from a motor vehicle,, ,, 
1.123713333,0.14165776800000002,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Theft from a motor vehicle,, ,, 
0.631146148,0.126263169,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Theft from a motor vehicle,, ,, 
3.427465523,0.7782427820000001,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Theft from a motor vehicle,, ,, 
2.880717138,0.276479048,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Theft from a motor vehicle,, ,, 
