V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
2.8437840260000002,0.385249658,25345,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
0.0,0.0,67,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
2.704218654,0.642371216,9271,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
4.268918299,0.86225798,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
1.871564472,0.7296321020000001,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft from a dwelling and meter,,All households
4.725705481,1.3461208530000002,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft from a dwelling and meter,,All households
2.435825216,0.36162932,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Theft from a dwelling and meter,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Theft from a dwelling and meter,,All households
2.10245612,0.467609448,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Theft from a dwelling and meter,,All households
3.2060664610000003,0.693874456,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Theft from a dwelling and meter,,All households
69.65923376,3.615892469,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,All household theft,,All households
94.74784476,5.860342445,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,All household theft,,All households
94.53828918,2.3837168269999998,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,All household theft,,All households
13.49539165,13.41150057,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,All household theft,,All households
91.49560054,3.610492005,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,All household theft,,All households
116.66122479999999,4.64406224,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,All household theft,,All households
16.35587645,1.809248775,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Theft from outside dwelling,,All households
18.63779592,2.4665612080000003,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Theft from outside dwelling,,All households
