V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,Growth Period_codelist,Growth Period,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
4.7,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
5.4,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
-0.1,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
4.2,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
5.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
5.9,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
0.7,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
4.5,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
5.5,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
6.0,Quarter,2001 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
1.8,Quarter,2001 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
5.7,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
4.3,Quarter,2001 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
