V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
98.4,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
97.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
97.2,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
95.3,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
98.0,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
99.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
98.8,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
102.8,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
99.3,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_F Construction
98.2,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
98.1,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
96.2,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
99.4,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
99.9,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
100.1,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
99.4,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
99.6,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
98.5,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
98.7,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
96.1,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
98.7,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_H Transport and Storage
