V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type
231.171721975218,Month,Aug 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
341.896717567885,Month,Sep 2002,K03000001,,,Whole Economy,,Total Pay
340.865144021408,Month,Sep 2002,K03000001,,,Private sector,,Total Pay
345.39400662515,Month,Sep 2002,K03000001,,,Public sector,,Total Pay
326.285078880019,Month,Sep 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
419.006937601687,Month,Sep 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
344.36441972643,Month,Sep 2002,K03000001,,,Public sector excluding financial services,,Total Pay
392.699350058307,Month,Sep 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
411.738113059392,Month,Sep 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
230.843645342103,Month,Sep 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
342.23066919842,Month,Oct 2002,K03000001,,,Whole Economy,,Total Pay
340.559810274936,Month,Oct 2002,K03000001,,,Private sector,,Total Pay
347.294890182478,Month,Oct 2002,K03000001,,,Public sector,,Total Pay
326.578504780931,Month,Oct 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
