V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type,Percentage Change_codelist,Percentage Change
4.422659605195,Month,Jan 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
3.720569891434,Month,Jan 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
3.189643704413,Month,Jan 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
2.951587589432,Month,Feb 2002,K03000001,,,Whole Economy,,Total Pay,,Single month
3.290314648001,Month,Feb 2002,K03000001,,,Whole Economy,,Total Pay,,3 month average
2.537665037457,Month,Feb 2002,K03000001,,,Private sector,,Total Pay,,Single month
2.932400131916,Month,Feb 2002,K03000001,,,Private sector,,Total Pay,,3 month average
4.502018912687,Month,Feb 2002,K03000001,,,Public sector,,Total Pay,,Single month
4.878158961205,Month,Feb 2002,K03000001,,,Public sector,,Total Pay,,3 month average
2.895058921191,Month,Feb 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
3.41994846462,Month,Feb 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
0.347945409841,Month,Feb 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
0.83049239604,Month,Feb 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
4.372338354571,Month,Feb 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
4.794579806536,Month,Feb 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.152347562175,Month,Feb 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.308857103454,Month,Feb 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
7.049163110113,Month,Feb 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
4.454949042557,Month,Feb 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
3.025975757004,Month,Feb 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
