V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
5.0,Year,2017,E14000657,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
190.0,Year,2017,E14000657,,,Enterprise,05-39,05-39 : Production
780.0,Year,2017,E14000657,,,Enterprise,41-43,41-43 : Construction
145.0,Year,2017,E14000657,,,Enterprise,45,45 : Motor trades
150.0,Year,2017,E14000657,,,Enterprise,46,46 : Wholesale
215.0,Year,2017,E14000657,,,Enterprise,47,47 : Retail
305.0,Year,2017,E14000657,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
160.0,Year,2017,E14000657,,,Enterprise,55-56,55-56 : Accommodation & food services
250.0,Year,2017,E14000657,,,Enterprise,58-63,58-63 : Information & communication
45.0,Year,2017,E14000657,,,Enterprise,64-66,64-66 : Finance & insurance
55.0,Year,2017,E14000657,,,Enterprise,68,68 : Property
405.0,Year,2017,E14000657,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
330.0,Year,2017,E14000657,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000657,,,Enterprise,84,84 : Public administration & defence
60.0,Year,2017,E14000657,,,Enterprise,85,85 : Education
290.0,Year,2017,E14000657,,,Enterprise,86-88,86-88 : Health
140.0,Year,2017,E14000657,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3525.0,Year,2017,E14000657,,,Enterprise,Total,Total
5.0,Year,2017,E14000673,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
155.0,Year,2017,E14000673,,,Enterprise,05-39,05-39 : Production
315.0,Year,2017,E14000673,,,Enterprise,41-43,41-43 : Construction
60.0,Year,2017,E14000673,,,Enterprise,45,45 : Motor trades
140.0,Year,2017,E14000673,,,Enterprise,46,46 : Wholesale
415.0,Year,2017,E14000673,,,Enterprise,47,47 : Retail
45.0,Year,2017,E14000673,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
295.0,Year,2017,E14000673,,,Enterprise,55-56,55-56 : Accommodation & food services
820.0,Year,2017,E14000673,,,Enterprise,58-63,58-63 : Information & communication
55.0,Year,2017,E14000673,,,Enterprise,64-66,64-66 : Finance & insurance
140.0,Year,2017,E14000673,,,Enterprise,68,68 : Property
1400.0,Year,2017,E14000673,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
475.0,Year,2017,E14000673,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000673,,,Enterprise,84,84 : Public administration & defence
125.0,Year,2017,E14000673,,,Enterprise,85,85 : Education
300.0,Year,2017,E14000673,,,Enterprise,86-88,86-88 : Health
450.0,Year,2017,E14000673,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5195.0,Year,2017,E14000673,,,Enterprise,Total,Total
5.0,Year,2017,E14000674,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
335.0,Year,2017,E14000674,,,Enterprise,05-39,05-39 : Production
935.0,Year,2017,E14000674,,,Enterprise,41-43,41-43 : Construction
160.0,Year,2017,E14000674,,,Enterprise,45,45 : Motor trades
545.0,Year,2017,E14000674,,,Enterprise,46,46 : Wholesale
760.0,Year,2017,E14000674,,,Enterprise,47,47 : Retail
240.0,Year,2017,E14000674,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
370.0,Year,2017,E14000674,,,Enterprise,55-56,55-56 : Accommodation & food services
1365.0,Year,2017,E14000674,,,Enterprise,58-63,58-63 : Information & communication
115.0,Year,2017,E14000674,,,Enterprise,64-66,64-66 : Finance & insurance
360.0,Year,2017,E14000674,,,Enterprise,68,68 : Property
1890.0,Year,2017,E14000674,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
820.0,Year,2017,E14000674,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000674,,,Enterprise,84,84 : Public administration & defence
175.0,Year,2017,E14000674,,,Enterprise,85,85 : Education
365.0,Year,2017,E14000674,,,Enterprise,86-88,86-88 : Health
630.0,Year,2017,E14000674,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
9070.0,Year,2017,E14000674,,,Enterprise,Total,Total
0.0,Year,2017,E14000675,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
195.0,Year,2017,E14000675,,,Enterprise,05-39,05-39 : Production
960.0,Year,2017,E14000675,,,Enterprise,41-43,41-43 : Construction
105.0,Year,2017,E14000675,,,Enterprise,45,45 : Motor trades
215.0,Year,2017,E14000675,,,Enterprise,46,46 : Wholesale
375.0,Year,2017,E14000675,,,Enterprise,47,47 : Retail
325.0,Year,2017,E14000675,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
160.0,Year,2017,E14000675,,,Enterprise,55-56,55-56 : Accommodation & food services
