V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover size Band_codelist,Turnover size Band
120.0,Year,2017,E14001014,,,Enterprise,,500-999
65.0,Year,2017,E14001014,,,Enterprise,,1000-1999
40.0,Year,2017,E14001014,,,Enterprise,,2000-4999
15.0,Year,2017,E14001014,,,Enterprise,,5000-9999
15.0,Year,2017,E14001014,,,Enterprise,,10000-49999
5.0,Year,2017,E14001014,,,Enterprise,,50000+
1945.0,Year,2017,E14001014,,,Enterprise,,Total
205.0,Year,2017,E14001020,,,Enterprise,,0-49
410.0,Year,2017,E14001020,,,Enterprise,,50-99
470.0,Year,2017,E14001020,,,Enterprise,,100-249
210.0,Year,2017,E14001020,,,Enterprise,,250-499
145.0,Year,2017,E14001020,,,Enterprise,,500-999
95.0,Year,2017,E14001020,,,Enterprise,,1000-1999
55.0,Year,2017,E14001020,,,Enterprise,,2000-4999
25.0,Year,2017,E14001020,,,Enterprise,,5000-9999
25.0,Year,2017,E14001020,,,Enterprise,,10000-49999
5.0,Year,2017,E14001020,,,Enterprise,,50000+
1645.0,Year,2017,E14001020,,,Enterprise,,Total
43465.0,Year,2017,E12000002,,,Enterprise,,0-49
65955.0,Year,2017,E12000002,,,Enterprise,,50-99
78170.0,Year,2017,E12000002,,,Enterprise,,100-249
30940.0,Year,2017,E12000002,,,Enterprise,,250-499
18195.0,Year,2017,E12000002,,,Enterprise,,500-999
10350.0,Year,2017,E12000002,,,Enterprise,,1000-1999
7225.0,Year,2017,E12000002,,,Enterprise,,2000-4999
2790.0,Year,2017,E12000002,,,Enterprise,,5000-9999
2280.0,Year,2017,E12000002,,,Enterprise,,10000-49999
690.0,Year,2017,E12000002,,,Enterprise,,50000+
260060.0,Year,2017,E12000002,,,Enterprise,,Total
870.0,Year,2017,E14000532,,,Enterprise,,0-49
1420.0,Year,2017,E14000532,,,Enterprise,,50-99
1960.0,Year,2017,E14000532,,,Enterprise,,100-249
655.0,Year,2017,E14000532,,,Enterprise,,250-499
405.0,Year,2017,E14000532,,,Enterprise,,500-999
180.0,Year,2017,E14000532,,,Enterprise,,1000-1999
160.0,Year,2017,E14000532,,,Enterprise,,2000-4999
50.0,Year,2017,E14000532,,,Enterprise,,5000-9999
40.0,Year,2017,E14000532,,,Enterprise,,10000-49999
15.0,Year,2017,E14000532,,,Enterprise,,50000+
5755.0,Year,2017,E14000532,,,Enterprise,,Total
355.0,Year,2017,E14000537,,,Enterprise,,0-49
665.0,Year,2017,E14000537,,,Enterprise,,50-99
840.0,Year,2017,E14000537,,,Enterprise,,100-249
350.0,Year,2017,E14000537,,,Enterprise,,250-499
165.0,Year,2017,E14000537,,,Enterprise,,500-999
120.0,Year,2017,E14000537,,,Enterprise,,1000-1999
55.0,Year,2017,E14000537,,,Enterprise,,2000-4999
25.0,Year,2017,E14000537,,,Enterprise,,5000-9999
15.0,Year,2017,E14000537,,,Enterprise,,10000-49999
10.0,Year,2017,E14000537,,,Enterprise,,50000+
2600.0,Year,2017,E14000537,,,Enterprise,,Total
505.0,Year,2017,E14000543,,,Enterprise,,0-49
960.0,Year,2017,E14000543,,,Enterprise,,50-99
940.0,Year,2017,E14000543,,,Enterprise,,100-249
350.0,Year,2017,E14000543,,,Enterprise,,250-499
180.0,Year,2017,E14000543,,,Enterprise,,500-999
80.0,Year,2017,E14000543,,,Enterprise,,1000-1999
55.0,Year,2017,E14000543,,,Enterprise,,2000-4999
20.0,Year,2017,E14000543,,,Enterprise,,5000-9999
10.0,Year,2017,E14000543,,,Enterprise,,10000-49999
0.0,Year,2017,E14000543,,,Enterprise,,50000+
3100.0,Year,2017,E14000543,,,Enterprise,,Total
330.0,Year,2017,E14000559,,,Enterprise,,0-49
595.0,Year,2017,E14000559,,,Enterprise,,50-99
735.0,Year,2017,E14000559,,,Enterprise,,100-249
305.0,Year,2017,E14000559,,,Enterprise,,250-499
180.0,Year,2017,E14000559,,,Enterprise,,500-999
115.0,Year,2017,E14000559,,,Enterprise,,1000-1999
80.0,Year,2017,E14000559,,,Enterprise,,2000-4999
30.0,Year,2017,E14000559,,,Enterprise,,5000-9999
20.0,Year,2017,E14000559,,,Enterprise,,10000-49999
5.0,Year,2017,E14000559,,,Enterprise,,50000+
2395.0,Year,2017,E14000559,,,Enterprise,,Total
515.0,Year,2017,E14000570,,,Enterprise,,0-49
725.0,Year,2017,E14000570,,,Enterprise,,50-99
985.0,Year,2017,E14000570,,,Enterprise,,100-249
440.0,Year,2017,E14000570,,,Enterprise,,250-499
240.0,Year,2017,E14000570,,,Enterprise,,500-999
195.0,Year,2017,E14000570,,,Enterprise,,1000-1999
140.0,Year,2017,E14000570,,,Enterprise,,2000-4999
60.0,Year,2017,E14000570,,,Enterprise,,5000-9999
40.0,Year,2017,E14000570,,,Enterprise,,10000-49999
15.0,Year,2017,E14000570,,,Enterprise,,50000+
3355.0,Year,2017,E14000570,,,Enterprise,,Total
590.0,Year,2017,E14000571,,,Enterprise,,0-49
855.0,Year,2017,E14000571,,,Enterprise,,50-99
1205.0,Year,2017,E14000571,,,Enterprise,,100-249
515.0,Year,2017,E14000571,,,Enterprise,,250-499
280.0,Year,2017,E14000571,,,Enterprise,,500-999
165.0,Year,2017,E14000571,,,Enterprise,,1000-1999
140.0,Year,2017,E14000571,,,Enterprise,,2000-4999
40.0,Year,2017,E14000571,,,Enterprise,,5000-9999
20.0,Year,2017,E14000571,,,Enterprise,,10000-49999
5.0,Year,2017,E14000571,,,Enterprise,,50000+
3815.0,Year,2017,E14000571,,,Enterprise,,Total
250.0,Year,2017,E14000572,,,Enterprise,,0-49
630.0,Year,2017,E14000572,,,Enterprise,,50-99
655.0,Year,2017,E14000572,,,Enterprise,,100-249
245.0,Year,2017,E14000572,,,Enterprise,,250-499
150.0,Year,2017,E14000572,,,Enterprise,,500-999
65.0,Year,2017,E14000572,,,Enterprise,,1000-1999
45.0,Year,2017,E14000572,,,Enterprise,,2000-4999
20.0,Year,2017,E14000572,,,Enterprise,,5000-9999
15.0,Year,2017,E14000572,,,Enterprise,,10000-49999
0.0,Year,2017,E14000572,,,Enterprise,,50000+
2075.0,Year,2017,E14000572,,,Enterprise,,Total
295.0,Year,2017,E14000573,,,Enterprise,,0-49
705.0,Year,2017,E14000573,,,Enterprise,,50-99
795.0,Year,2017,E14000573,,,Enterprise,,100-249
320.0,Year,2017,E14000573,,,Enterprise,,250-499
165.0,Year,2017,E14000573,,,Enterprise,,500-999
100.0,Year,2017,E14000573,,,Enterprise,,1000-1999
60.0,Year,2017,E14000573,,,Enterprise,,2000-4999
20.0,Year,2017,E14000573,,,Enterprise,,5000-9999
20.0,Year,2017,E14000573,,,Enterprise,,10000-49999
5.0,Year,2017,E14000573,,,Enterprise,,50000+
2485.0,Year,2017,E14000573,,,Enterprise,,Total
525.0,Year,2017,E14000578,,,Enterprise,,0-49
