V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
45.0,Year,2016,E08000007,,,250+,,Enterprise
11665.0,Year,2016,E08000007,,,Total,,Enterprise
4690.0,Year,2016,E08000008,,,0-4,,Enterprise
750.0,Year,2016,E08000008,,,5-9,,Enterprise
380.0,Year,2016,E08000008,,,10-19,,Enterprise
235.0,Year,2016,E08000008,,,20-49,,Enterprise
60.0,Year,2016,E08000008,,,50-99,,Enterprise
35.0,Year,2016,E08000008,,,100-249,,Enterprise
15.0,Year,2016,E08000008,,,250+,,Enterprise
6165.0,Year,2016,E08000008,,,Total,,Enterprise
9430.0,Year,2016,E08000009,,,0-4,,Enterprise
1165.0,Year,2016,E08000009,,,5-9,,Enterprise
610.0,Year,2016,E08000009,,,10-19,,Enterprise
345.0,Year,2016,E08000009,,,20-49,,Enterprise
135.0,Year,2016,E08000009,,,50-99,,Enterprise
70.0,Year,2016,E08000009,,,100-249,,Enterprise
70.0,Year,2016,E08000009,,,250+,,Enterprise
11825.0,Year,2016,E08000009,,,Total,,Enterprise
6795.0,Year,2016,E08000010,,,0-4,,Enterprise
1060.0,Year,2016,E08000010,,,5-9,,Enterprise
565.0,Year,2016,E08000010,,,10-19,,Enterprise
280.0,Year,2016,E08000010,,,20-49,,Enterprise
80.0,Year,2016,E08000010,,,50-99,,Enterprise
45.0,Year,2016,E08000010,,,100-249,,Enterprise
30.0,Year,2016,E08000010,,,250+,,Enterprise
8855.0,Year,2016,E08000010,,,Total,,Enterprise
33140.0,Year,2016,E10000017,,,0-4,,Enterprise
5350.0,Year,2016,E10000017,,,5-9,,Enterprise
2680.0,Year,2016,E10000017,,,10-19,,Enterprise
1540.0,Year,2016,E10000017,,,20-49,,Enterprise
455.0,Year,2016,E10000017,,,50-99,,Enterprise
245.0,Year,2016,E10000017,,,100-249,,Enterprise
140.0,Year,2016,E10000017,,,250+,,Enterprise
43550.0,Year,2016,E10000017,,,Total,,Enterprise
1890.0,Year,2016,E07000117,,,0-4,,Enterprise
320.0,Year,2016,E07000117,,,5-9,,Enterprise
190.0,Year,2016,E07000117,,,10-19,,Enterprise
105.0,Year,2016,E07000117,,,20-49,,Enterprise
35.0,Year,2016,E07000117,,,50-99,,Enterprise
15.0,Year,2016,E07000117,,,100-249,,Enterprise
10.0,Year,2016,E07000117,,,250+,,Enterprise
2565.0,Year,2016,E07000117,,,Total,,Enterprise
3445.0,Year,2016,E07000118,,,0-4,,Enterprise
480.0,Year,2016,E07000118,,,5-9,,Enterprise
245.0,Year,2016,E07000118,,,10-19,,Enterprise
130.0,Year,2016,E07000118,,,20-49,,Enterprise
40.0,Year,2016,E07000118,,,50-99,,Enterprise
20.0,Year,2016,E07000118,,,100-249,,Enterprise
10.0,Year,2016,E07000118,,,250+,,Enterprise
4370.0,Year,2016,E07000118,,,Total,,Enterprise
2485.0,Year,2016,E07000119,,,0-4,,Enterprise
400.0,Year,2016,E07000119,,,5-9,,Enterprise
185.0,Year,2016,E07000119,,,10-19,,Enterprise
125.0,Year,2016,E07000119,,,20-49,,Enterprise
30.0,Year,2016,E07000119,,,50-99,,Enterprise
15.0,Year,2016,E07000119,,,100-249,,Enterprise
10.0,Year,2016,E07000119,,,250+,,Enterprise
3250.0,Year,2016,E07000119,,,Total,,Enterprise
1620.0,Year,2016,E07000120,,,0-4,,Enterprise
315.0,Year,2016,E07000120,,,5-9,,Enterprise
180.0,Year,2016,E07000120,,,10-19,,Enterprise
105.0,Year,2016,E07000120,,,20-49,,Enterprise
30.0,Year,2016,E07000120,,,50-99,,Enterprise
20.0,Year,2016,E07000120,,,100-249,,Enterprise
5.0,Year,2016,E07000120,,,250+,,Enterprise
2275.0,Year,2016,E07000120,,,Total,,Enterprise
3465.0,Year,2016,E07000121,,,0-4,,Enterprise
600.0,Year,2016,E07000121,,,5-9,,Enterprise
265.0,Year,2016,E07000121,,,10-19,,Enterprise
165.0,Year,2016,E07000121,,,20-49,,Enterprise
40.0,Year,2016,E07000121,,,50-99,,Enterprise
30.0,Year,2016,E07000121,,,100-249,,Enterprise
15.0,Year,2016,E07000121,,,250+,,Enterprise
4580.0,Year,2016,E07000121,,,Total,,Enterprise
2145.0,Year,2016,E07000122,,,0-4,,Enterprise
360.0,Year,2016,E07000122,,,5-9,,Enterprise
170.0,Year,2016,E07000122,,,10-19,,Enterprise
105.0,Year,2016,E07000122,,,20-49,,Enterprise
40.0,Year,2016,E07000122,,,50-99,,Enterprise
20.0,Year,2016,E07000122,,,100-249,,Enterprise
