V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
15.0,Year,2016,E06000004,,,Enterprise,84,84 : Public administration & defence
80.0,Year,2016,E06000004,,,Enterprise,85,85 : Education
265.0,Year,2016,E06000004,,,Enterprise,86-88,86-88 : Health
335.0,Year,2016,E06000004,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5495.0,Year,2016,E06000004,,,Enterprise,Total,Total
230.0,Year,2016,E11000007,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
1880.0,Year,2016,E11000007,,,Enterprise,05-39,05-39 : Production
3345.0,Year,2016,E11000007,,,Enterprise,41-43,41-43 : Construction
865.0,Year,2016,E11000007,,,Enterprise,45,45 : Motor trades
970.0,Year,2016,E11000007,,,Enterprise,46,46 : Wholesale
2615.0,Year,2016,E11000007,,,Enterprise,47,47 : Retail
855.0,Year,2016,E11000007,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
2490.0,Year,2016,E11000007,,,Enterprise,55-56,55-56 : Accommodation & food services
1665.0,Year,2016,E11000007,,,Enterprise,58-63,58-63 : Information & communication
495.0,Year,2016,E11000007,,,Enterprise,64-66,64-66 : Finance & insurance
945.0,Year,2016,E11000007,,,Enterprise,68,68 : Property
4585.0,Year,2016,E11000007,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
2185.0,Year,2016,E11000007,,,Enterprise,77-82,77-82 : Business administration & support services
15.0,Year,2016,E11000007,,,Enterprise,84,84 : Public administration & defence
555.0,Year,2016,E11000007,,,Enterprise,85,85 : Education
1485.0,Year,2016,E11000007,,,Enterprise,86-88,86-88 : Health
2075.0,Year,2016,E11000007,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
27255.0,Year,2016,E11000007,,,Enterprise,Total,Total
60.0,Year,2016,E08000037,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
400.0,Year,2016,E08000037,,,Enterprise,05-39,05-39 : Production
675.0,Year,2016,E08000037,,,Enterprise,41-43,41-43 : Construction
