V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Turnover Size Band_codelist,Turnover Size Band
10.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
5.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
0.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
0.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
20.0,Year,2017,E12000007,,,Enterprise,03,03 : Fishing and aquaculture,,Total
100.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
90.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
65.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
20.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
20.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
5.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
300.0,Year,2017,E12000008,,,Enterprise,03,03 : Fishing and aquaculture,,Total
305.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
115.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
140.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
55.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
35.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
20.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
5.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
675.0,Year,2017,E12000009,,,Enterprise,03,03 : Fishing and aquaculture,,Total
95.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
40.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
40.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
10.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
0.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
5.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
190.0,Year,2017,W92000004,,,Enterprise,03,03 : Fishing and aquaculture,,Total
545.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
325.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
605.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
165.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
100.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
110.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
30.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
1880.0,Year,2017,S92000003,,,Enterprise,03,03 : Fishing and aquaculture,,Total
60.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,0-49
40.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,50-99
50.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,100-249
35.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,250-499
10.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,500-999
5.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,1000-4999
0.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,5000+
200.0,Year,2017,N92000002,,,Enterprise,03,03 : Fishing and aquaculture,,Total
0.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
5.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
5.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
10.0,Year,2017,K02000001,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
5.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
5.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
10.0,Year,2017,K03000001,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
5.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
5.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
10.0,Year,2017,K04000001,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
5.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
0.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
5.0,Year,2017,E92000001,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
0.0,Year,2017,E12000001,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
0.0,Year,2017,E12000002,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,500-999
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,1000-4999
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,5000+
0.0,Year,2017,E12000003,,,Enterprise,05,05 : Mining of coal and lignite,,Total
0.0,Year,2017,E12000004,,,Enterprise,05,05 : Mining of coal and lignite,,0-49
0.0,Year,2017,E12000004,,,Enterprise,05,05 : Mining of coal and lignite,,50-99
0.0,Year,2017,E12000004,,,Enterprise,05,05 : Mining of coal and lignite,,100-249
0.0,Year,2017,E12000004,,,Enterprise,05,05 : Mining of coal and lignite,,250-499
